area;parc;parc;ni;especies;h2014;h2015;h2016;h2017;h2018;h2022;h2023;h2025;x;y
1;1;1E;1;Myrceugenia euosma;;;1,03;;1,17;1,1;;1,2;0,65;0,45
1;1;1E;j3;Baccharis uncinella;1,31;1,54;1,63;;M;M;;M;0,45;0,33
1;1;1E;3;Myrceugenia glaucescens;1,29;1,29;1,32;;1,58;1,5;;M;0,69;1,43
1;1;1E;4;Drimys angustifolia;1,49;1,52;1,75;;2,1;2;;2,1;0,58;2,24
1;1;1E;5;Myrceugenia glaucescens;1;1,03;1,1;;1,2;1,3;;1,1;0,59;1,97
1;1;1E;D850;Baccharis uncinella;2,3;2,6;2,85;;2,6;AD;;AD;1,9;1,24
1;1;1E;D851;Siphoneugenia reitzii;;;1,05;;1,33;1,7;;1,8;0,65;3,42
1;1;1E;9;Baccharis uncinella;2,15;2,2;2,5;;3,2;M;;M;2,25;4,41
1;1;1E;H1229;Myrceugenia myrcioides;;;1,14;;1,4;2;;2;2,3;5,41
1;1;1E;11;Baccharis uncinella;2,8;2,1;2,1;;M;M;;M;1,7;6,38
1;1;1E;12;Baccharis microdonta;2,8;2,8;2,45;;M;M;;M;3,6;8,72
1;1;1E;D855;Baccharis uncinella;2,5;3;3,5;;2,2;2;;M;1,1;8,59
1;1;1E;14;Araucaria angustifolia;1,66;1,8;1,95;;2,1;AD;;AD;4,9;9,7
1;1;1E;20;Baccharis uncinella;2,9;2,9;2,5;;M;M;;M;6,1;3,55
1;1;1E;21;Berberis laurina;;1,05;1,3;;1,8;1,9;;2;6,4;9,2
1;1;1E;22;Berberis laurina;1,2;1,22;3;;1,7;1,3;;M;5,2;3
1;1;1E;23;Baccharis uncinella;3;3,1;3,2;;3,4;M;;M;8,6;2,57
1;1;1E;25;Baccharis uncinella;1,2;1,2;M;;M;M;;M;5,1;1,25
1;1;1E;26;Baccharis uncinella;2,7;2,8;2,85;;3;M;;M;4;1,55
1;1;1E;27;Baccharis uncinella;1,84;2,4;2,35;;3,3;AD;;AD;3,5;0,22
1;1;1E;28;Baccharis uncinella;2;2;2,3;;M;M;;M;3;0,25
1;1;1E;30;Baccharis uncinella;2;2,05;3;;M;M;;M;3,1;1,33
1;1;1E;e3;Myrceugenia glaucescens;1;1,02;1,1;;1,1;1,2;;1,2;0,3;9,7
1;1;1E;M703;Maytenus boaria;;;1,06;;1,45;1,8;;M;4,21;0,25
1;1;1E;D860;Prunus myrtifolia;;;;;1,3;1,7;;1,7;0,4;1,83
1;1;1E;D852;Campovassouria cruciata;;;;;1,77;3;;3;5,5;6,64
1;1;1E;D853;Berberis laurina;;;;;1,05;1,3;;M;9,2;5,93
1;1;1E;M647;Campovassouria cruciata;;;;;1,85;2,3;;2,5;2,7;7,87
1;1;1E;H860;Campovassouria cruciata;;;;;3;3;;3,5;1,1;5,5
1;1;1E;D892;Symphyopappus itatiayensis;;;;;1,2;M;;M;0,3;6,11
1;1;1E;M52;Baccharis microdonta;;;;;;1,7;;M;;
1;1;1E;M138;Ocotea pulchella;;;;;;1,1;;1,5;1;2
1;1;1E;M69;Solanum paranense;;;;;;1,3;;M;;
1;1;1E;M124;Campovassouria cruciata;;;;;;1,5;;2,6;;
1;1;1E;M711;Symphyopappus itatiayensis;;;;;;2;;M;;
1;1;1E;M340;Campovassouria cruciata;;;;;;2,3;;M;;
1;1;1E;M516;Campovassouria cruciata;;;;;;3;;3;;
1;1;1E;M225;Campovassouria cruciata;;;;;;1,2;;2,2;;
1;1;1E;M327;Campovassouria cruciata;;;;;;1,35;;M;;
1;1;1E;M322;Siphoneugenia reitzii;;;;;;1,4;;1,8;4,5;9,7
1;1;1E;H1225;Baccharis microdonta;;;;;;2;;2,5;4;10
1;1;1E;H1227;Baccharis microdonta;;;;;;1,6;;2,5;4;10
1;1;1E;M332;Baccharis uncinella;;;;;;2;;AD;;
1;1;1E;M334;Symphyopappus itatiayensis;;;;;;1,5;;2;6,5;5
1;1;1E;M17;Drimys angustifolia;;;;;;1,3;;2,1;;
1;1;1E;M325;Drimys angustifolia;;;;;;1,2;;M;;
1;1;1E;M18;Solanum paranense;;;;;;1,2;;1,4;;
1;1;1E;M229;Myrceugenia regnelliana;;;;;;1;;M;;
1;1;1E;M320;Drimys angustifolia;;;;;;1,2;;1,25;;
1;1;1E;M126;Solanum cassioides;;;;;;1;;2,1;5,5;8
1;1;1E;M129;Symphyopappus itatiayensis;;;;;;1,66;;M;;
1;1;1E;H862;Solanum sanctaecatharinae;;;;;;;;1,5;0,85;3
1;1;1E;H854;Symphyopappus itatiayensis;;;;;;;;1,5;1,5;3
1;1;1E;H855;Symphyopappus itatiayensis;;;;;;;;2,3;2;2,5
1;1;1E;H856;Drimys angustifolia;;;;;;;;1,25;2;2
1;1;1E;H861;Azara uruguayensis;;;;;;;;1,2;2,5;2
1;1;1E;H858;Berberis laurina;;;;;;;;1,2;1,1;6
1;1;1E;H857;Baccharis microdonta;;;;;;;;1,2;2,1;5
1;1;1E;H1220;Symphyopappus itatiayensis;;;;;;;;1,7;2,1;5,5
1;1;1E;H1228;Symphyopappus itatiayensis;;;;;;;;1,3;2,1;5,75
1;1;1E;H1223;Myrceugenia regnelliana;;;;;;;;1,5;3,9;7
1;1;1E;H1222;Campovassouria cruciata;;;;;;;;2;5,5;9,5
1;1;1E;H1132;Solanum cassioides;;;;;;;;1,2;6,5;9,5
1;1;1E;H1144;Symphyopappus itatiayensis;;;;;;;;1,4;7;6,64
1;1;1E;H1169;Campovassouria cruciata;;;;;;;;1,7;10;7
1;1;1E;H11661;Baccharis microdonta;;;;;;;;3;9;4
1;1;1E;H1221;Symphyopappus itatiayensis;;;;;;;;2,2;9;3,95
1;1;1E;H1168;Citronella paniculata;;;;;;;;1,3;8;4
1;1;1E;H1165;Drimys angustifolia;;;;;;;;1,5;7,9;4
1;1;1E;H1065;Campovassouria cruciata;;;;;;;;2,5;6;3
1;1;1E;H1062;Symphyopappus itatiayensis;;;;;;;;1,5;6;2,9
1;1;1E;H1064;Myrsine coriacea;;;;;;;;1,2;6;3
1;1;1E;H1061;Prunus myrtifolia;;;;;;;;1,2;6;4
1;1;1E;H1060;Drimys angustifolia;;;;;;;;1,5;5;2
1;1;1E;H1044;Drimys angustifolia;;;;;;;;1,2;3;0,5
1;2;1D;33;Baccharis uncinella;2,36;2,44;3,15;;3,7;AD;;AD;1,99;-0,66
1;2;1D;H787;Drimys angustifolia;;1,02;1,1;;1,3;2;;2,55;2,25;-1,86
1;2;1D;40;Baccharis uncinella;2,6;2,7;3,6;;4,2;AD;;AD;3,7;-2,29
1;2;1D;43;Baccharis uncinella;2,19;2,43;3;;3,7;AD;;AD;0,8;-3,15
1;2;1D;44;Drimys angustifolia;1,4;1,5;1,87;;2,1;3;;3,1;3;-4,72
1;2;1D;D893;Myrceugenia euosma;1,11;1,2;1,27;;1,4;1,9;;M;2,79;-4,56
1;2;1D;47;Baccharis uncinella;2;2,25;2,67;;3,2;AD;;AD;4,7;-4,94
1;2;1D;50;Berberis laurina;1,11;1,15;1,2;;1,1;1,8;;M;3,8;-6,6
1;2;1D;52;Baccharis uncinella;3,2;3,2;3,4;;M;M;;M;2,5;-6,65
1;2;1D;H703;Drimys angustifolia;;1,2;1,53;;1,9;2,4;;2,7;1,8;-6,03
1;2;1D;55;Baccharis uncinella;3,5;3,9;4,5;;4,3;AD;;AD;1,6;-7,21
1;2;1D;57;Baccharis uncinella;1,7;1,75;1,8;;M;M;;M;1,8;-8,1
1;2;1D;H722;Campovassouria cruciata;1,4;1,4;1,9;;2,2;1,6;;2,6;2;-9,07
1;2;1D;61;Baccharis uncinella;3,5;3,5;3,5;;4,2;AD;;AD;1,4;-8,63
1;2;1D;62;Myrceugenia euosma;;;1,3;;1,1;1,3;;1,6;1,8;-9,29
1;2;1D;65;Myrceugenia regnelliana;;;1;;0,9;1,5;;1,8;3,09;-8,26
1;2;1D;D897;Baccharis uncinella;2;2,1;2,6;;3,7;M;;M;6,7;-8,49
1;2;1D;69;Baccharis uncinella;2;2,2;2,8;;M;M;;M;5,9;-6,7
1;2;1D;71;Baccharis uncinella;2;2,5;3,1;;4;M;;M;9;-3,38
1;2;1D;73;Drimys angustifolia;1,1;1,12;1;;M;M;;M;7,4;-2,17
1;2;1D;H720;Drimys angustifolia;1,2;1,3;1,39;;1,46;1,8;;1,85;6,9;-2,31
1;2;1D;75;Ocotea pulchella;1,3;1,35;1,63;;2;2,8;;2,1;6,15;-2,51
1;2;1D;D896;Campovassouria cruciata;2;2,6;2,6;;3,05;M;;M;6,4;-1,05
1;2;1D;e6;Solanum cassioides;1,1;1,1;1,22;;1,05;M;;M;6,42;­2,73
1;2;1D;e7;Solanum paranense;1;1,12;M;;M;M;;M;2,32;­5,93
1;2;1D;e8;Solanum cassioides;;1,3;1,3;;0,8;0,9;;1,35;7,15;­2,31
1;2;1D;e9;Solanum cassioides;1,2;1,21;M;;M;M;;M;4,63;­4,78
1;2;1D;M641;Berberis laurina;;;1,4;;1,65;1,45;;1,5;9,5;­2,69
1;2;1D;e12;Myrceugenia regnelliana;;;1,2;;0,9;M;;M;5,2;­1,75
1;2;1D;e14;Solanum cassioides;;;1,5;;1,45;M;;M;6,7;­8,06
1;2;1D;e15;Solanum cassioides;;;1,15;;1,54;M;;M;9;­7,45
1;2;1D;j14;Berberis laurina;;;1,2;;M;M;;M;6,8;­7,6
1;2;1D;M715;Solanum paranense;;;1,3;;1,5;2;;M;3,09;­8,5
1;2;1D;D243;Solanum cassioides;;;1,1;;M;M;;M;6,9;-3,82
1;2;1D;H1080;Myrceugenia glaucescens;;;;;1,05;1;;1,6;0,6;-1,5
1;2;1D;M127;Symplocos pentandra;;;;;1,2;1,75;;M;3,7;-4,71
1;2;1D;E13;Solanum paranense;;;;;1,25;M;;M;8,04;-6,69
1;2;1D;M702;Myrceugenia glaucescens;;;;;1;1,3;;M;4,6;-7,46
1;2;1D;523;Solanum cassioides;;;;;1;1,2;;M;7,2;-2,4
1;2;1D;D870;Myrceugenia glaucescens;;;;;1,4;M;;M;8,8;-6,28
1;2;1D;D890;Campovassouria cruciata;;;;;1,33;M;;M;4,4;-8,71
1;2;1D;D874;Maytenus boaria;;;;;1,05;1,3;;M;2,4;-9,73
1;2;1D;D868;Myrceugenia glaucescens;;;;;1,05;1,25;;M;2,4;-9,9
1;2;1D;D865;Campovassouria cruciata;;;;;1,05;M;;M;5,05;-6,5
1;2;1D;M53;Myrsine coriacea;;;;;;1;;M;;
1;2;1D;M116;Solanum paranense;;;;;;1,6;;1,7;;
1;2;1D;j23;Solanum cassioides;;;;;;1,2;;M;;
1;2;1D;M119;Drimys angustifolia;;;;;;1,6;;1,8;4;-3,5
1;2;1D;M63;Solanum paranense;;;;;;1,3;;M;;
1;2;1D;M503;Drimys angustifolia;;;;;;1,5;;1,7;3;-5,4
1;2;1D;M233;Myrceugenia euosma;;;;;;1,6;;1,8;;
1;2;1D;63;Myrceugenia regnelliana;;;;;;1,2;;1,5;;
1;2;1D;j17;Myrceugenia euosma;;;;;;1;;1,1;;
1;2;1D;M118;Myrceugenia euosma;;;;;;2,4;;3,5;;
1;2;1D;M125;Myrceugenia regnelliana;;;;;;1,5;;M;;
1;2;1D;M122;Solanum paranense;;;;;;1,5;;1,6;3,5;-6,5
1;2;1D;M120;Myrsine coriacea;;;;;;1,3;;M;;
1;2;1D;M716;Berberis laurina;;;;;;1;;M;;
1;2;1D;M701;Campovassouria cruciata;;;;;;1,5;;1,7;;
1;2;1D;M700;Solanum paranense;;;;;;1,7;;1,7;;
1;2;1D;M335;Solanum paranense;;;;;;1,1;;1,9;;
1;2;1D;H936;Baccharis uncinella;;;;;;;;1,65;;
1;2;1D;H1022;Campovassouria cruciata;;;;;;;;1,75;;
1;2;1D;H1028;Solanum cassioides;;;;;;;;1,7;;
1;2;1D;H1002;Campovassouria cruciata;;;;;;;;1,9;;
1;2;1D;H891;Solanum cassioides;;;;;;;;1,3;;
1;2;1D;H916;Myrsine coriacea;;;;;;;;1,65;;
1;2;1D;H731;Campovassouria cruciata;;;;;;;;2,1;;
1;2;1D;H712;Solanum paranense;;;;;;;;1,2;7,2;-2,4
1;2;1D;H1085;Solanum cassioides;;;;;;;;1,6;;
1;2;1D;H794;Solanum paranense;;;;;;;;1,9;3;-6
1;2;1D;H1108;Solanum paranense;;;;;;;;1,65;3;-6
1;2;1D;H737;Asteraceae sp.2;;;;;;;;1,7;2,5;-1
1;2;1D;H799;Symphyopappus itatiayensis;;;;;;;;1,6;1,5;-0,5
1;2;1D;H796;Symphyopappus itatiayensis;;;;;;;;1,8;1,5;-0,6
1;2;1D;H1089;Symphyopappus itatiayensis;;;;;;;;1,3;1,5;-0,8
1;2;1D;H1084;Solanum paranense;;;;;;;;2,3;1,5;-2
1;2;1D;H797;Drimys angustifolia;;;;;;;;2,7;1,5;-1,5
1;2;1D;H727;Solanum paranense;;;;;;;;1,8;3;-5,7
1;2;1D;H734;Solanum paranense;;;;;;;;1,55;3,7;-7
1;2;1D;H704;Solanum cassioides;;;;;;;;1,35;3,5;-7
1;2;1D;H736;Solanum cassioides;;;;;;;;1,4;3,5;-7
1;2;1D;H721;Solanum cassioides;;;;;;;;1,6;3,7;-7,5
1;2;1D;H735;Solanum paranense;;;;;;;;1,85;3,7;-8
1;2;1D;H1081;Solanum ramulosum;;;;;;;;1,5;2,8;-8,3
1;2;1D;H780;Symphyopappus itatiayensis;;;;;;;;1,55;2,8;-7
1;2;1D;H723;Myrceugenia regnelliana;;;;;;;;1;2,8;-7,1
1;2;1D;H1105;Myrceugenia regnelliana;;;;;;;;1;2,4;-2,5
1;2;1D;H1107;Baccharis microdonta;;;;;;;;2;3,5;-3,5
1;2;1D;H793;Solanum cassioides;;;;;;;;1,5;7,8;-3
1;3;2E;H1074;Myrceugenia regnelliana;1,1;1,14;1,17;;1,3;1,7;;2;10,8;0,58
1;3;2E;86;Baccharis uncinella;1,9;2,2;2,5;;3,1;AD;;AD;12,2;2,79
1;3;2E;H1034;Berberis laurina;;;1,1;;1,05;1,1;;1,2;14,8;1,46
1;3;2E;88;Baccharis uncinella;2;3;3,5;;3,1;AD;;AD;15,4;4,39
1;3;2E;D253;Baccharis uncinella;2,1;2,7;3,1;;3,5;2,2;;M;19,7;3,62
1;3;2E;H1072;Baccharis uncinella;1,8;1,9;2,3;;3,1;2,5;;1,75;17,55;5,19
1;3;2E;92;Baccharis uncinella;2,1;2,2;2,5;;M;M;;M;17,8;7,3
1;3;2E;H1093;Myrceugenia glaucescens;;;1,3;;1,1;1,1;;1,1;18,4;9,77
1;3;2E;94;Baccharis microdonta;1,4;2,2;2,1;;M;M;;M;16,4;8,68
1;3;2E;96;Berberis laurina;;;1;;1,2;M;;M;14,31;9,32
1;3;2E;97;Baccharis uncinella;1,9;2,5;2,3;;M;M;;M;13,9;7,96
1;3;2E;j38;Baccharis uncinella;1,5;1,5;1,9;;2;3;;M;11,2;6,54
1;3;2E;99;Berberis laurina;;1;1,4;;1,3;2;;2;12,5;8,83
1;3;2E;e27;Myrceugenia glaucescens;;;1;;1;1,4;;1,4;19,3;9,91
1;3;2E;e29;Solanum cassioides;1;1;M;;M;M;;M;12,05;7,51
1;3;2E;j33;Myrceugenia glaucescens;;;1,9;;0,85;1;;1,1;15,3;5,2
1;3;2E;j39;Solanum cassioides;;;1;;M;M;;M;18;8,6
1;3;2E;M71;Solanum cassioides;;;1,2;;1;1,2;;1,3;19;1,7
1;3;2E;D1380;Campovassouria cruciata;;;;;1,7;M;;M;12,2;8,29
1;3;2E;D1379;Baccharis microdonta;;;;;1;1,4;;M;12,4;9,88
1;3;2E;M225;Campovassouria cruciata;;;;;1;2,1;;2,5;10,7;9,85
1;3;2E;95;Myrceugenia regnelliana;;;;;1;1,1;;M;13,5;8,46
1;3;2E;123;Myrceugenia myrcioides;;;;;1,15;1,1;;M;19,9;4,63
1;3;2E;M14;Baccharis uncinella;;;;;;1,8;;2,5;17,5;0,4
1;3;2E;M293;Baccharis uncinella;;;;;;1,8;;2,5;17;0
1;3;2E;M213;Baccharis microdonta;;;;;;1,25;;3;19;5
1;3;2E;M239;Drimys angustifolia;;;;;;1,1;;M;;
1;3;2E;M228;Drimys angustifolia;;;;;;1,3;;1,7;18;7
1;3;2E;M214;Drimys angustifolia;;;;;;1,5;;M;;
1;3;2E;M211;Drimys angustifolia;;;;;;1,5;;M;;
1;3;2E;M72;Drimys angustifolia;;;;;;1,3;;1,8;18;8
1;3;2E;E23;Myrceugenia regnelliana;;;;;;1,1;;1,2;17;6
1;3;2E;M210;Baccharis uncinella;;;;;;1,3;;M;;
1;3;2E;E21;Solanum cassioides;;;;;;1,2;;M;;
1;3;2E;M221;Myrceugenia oxysepala;;;;;;1,1;;M;;
1;3;2E;M227;Campovassouria cruciata;;;;;;2,1;;M;;
1;3;2E;M226;Myrsine coriacea;;;;;;1,2;;2;10;2,5
1;3;2E;M325;Berberis laurina;;;;;;1,4;;1,75;11,2;7,54
1;3;2E;M95;Myrceugenia glaucescens;;;;;;1,1;;M;;
1;3;2E;M74;Baccharis uncinella;;;;;;2,3;;2,5;;
1;3;2E;M70;Campovassouria cruciata;;;;;;2,3;;M;;
1;3;2E;M224;Berberis laurina;;;;;;1,2;;M;;
1;3;2E;M65;Solanum cassioides;;;;;;1,3;;M;;
1;3;2E;H871;Baccharis microdonta;;;;;;1,6;;2,5;11,2;6,2
1;3;2E;J29;Myrceugenia regnelliana;;;;;;;;1,2;10,5;2
1;3;2E;M212;Baccharis uncinella;;;;;;;;1,8;15;1,5
1;3;2E;H1079;Solanum paranense;;;;;;;;1,1;15;1,5
1;3;2E;H1036;Baccharis uncinella;;;;;;;;1,5;15,5;1,5
1;3;2E;M324;Berberis laurina;;;;;;;;1,5;;
1;3;2E;H1036;Baccharis uncinella;;;;;;;;1,4;16;2
1;3;2E;H1037;Berberis laurina;;;;;;;;1,5;18;3
1;3;2E;H1039;Drimys angustifolia;;;;;;;;1,2;17;3
1;3;2E;H1032;Myrsine coriacea;;;;;;;;1;16,5;2,8
1;3;2E;H1077;Myrsine coriacea;;;;;;;;1,7;16,3;3
1;3;2E;H1030;Drimys angustifolia;;;;;;;;1,5;16,3;3,5
1;3;2E;M218;Drimys angustifolia;;;;;;;;2;18;7
1;3;2E;H1091;Prunus myrtifolia;;;;;;;;1,2;18;6,5
1;3;2E;H1099;Drimys angustifolia;;;;;;;;1,8;19;6
1;3;2E;H1097;Ilex microdonta;;;;;;;;1,9;19;7
1;3;2E;H1096;Symphyopappus itatiayensis;;;;;;;;1,5;18,5;8
1;3;2E;H1094;Myrsine coriacea;;;;;;;;1,8;18;8
1;3;2E;H1095;Solanum paranense;;;;;;;;2,2;20;9
1;3;2E;H1092;Myrsine coriacea;;;;;;;;2,3;18,4;9,8
1;3;2E;H1140;Symphyopappus itatiayensis;;;;;;;;2,2;17,5;7
1;3;2E;H858;Symphyopappus itatiayensis;;;;;;;;2,2;17,7;7
1;3;2E;H874;Solanum paranense;;;;;;;;1,5;17;6,2
1;3;2E;H853;Myrsine coriacea;;;;;;;;1,3;17,5;7
1;3;2E;H875;Solanum paranense;;;;;;;;1,6;17,5;6,5
1;3;2E;H877;Myrsine coriacea;;;;;;;;1,6;17,6;6,5
1;3;2E;H878;Symphyopappus itatiayensis;;;;;;;;1,5;18;6,5
1;3;2E;H879;Myrsine coriacea;;;;;;;;1,1;18;6,5
1;3;2E;H880;Baccharis microdonta;;;;;;;;1,1;17;5,2
1;3;2E;H884;Baccharis uncinella;;;;;;;;1,2;17,5;3
1;3;2E;H885;Drimys angustifolia;;;;;;;;1,3;15,5;4,5
1;3;2E;H886;Solanum paranense;;;;;;;;2;12;10
1;3;2E;H882;Baccharis microdonta;;;;;;;;1,9;13;8
1;3;2E;H1098;Baccharis microdonta;;;;;;;;2;13;9
1;3;2E;H872;Baccharis uncinella;;;;;;;;1,3;13;9
1;3;2E;H883;Symphyopappus itatiayensis;;;;;;;;2;13;8
1;3;2E;H889;Drimys angustifolia;;;;;;;;1,5;13;7,6
1;3;2E;H870;Grazielia intermedia;;;;;;;;1,5;11;8
1;3;2E;H867;Symphyopappus itatiayensis;;;;;;;;1,2;11,2;7
1;3;2E;H865;Drimys angustifolia;;;;;;;;1,3;11;7
1;3;2E;H863;Vernonanthura montevidensis;;;;;;;;2;11,5;6,5
1;3;2E;H866;Grazielia serrata;;;;;;;;2;12;6,5
1;3;2E;H864;Myrsine coriacea;;;;;;;;1,1;16,3;3,2
1;4;2D;77;Solanum paranense;1,53;M;M;;M;M;;M;12,3;-5,08
1;4;2D;H854;Myrceugenia euosma;;1,3;1,8;;2,2;2,8;;2,8;10,7;-6,85
1;4;2D;D875;Baccharis uncinella;2,5;2,5;2,6;;3,2;3,2;;M;12,6;-6,54
1;4;2D;M68;Myrceugenia regnelliana;;1;1,1;;1,1;1,7;;2,1;12,1;-9,32
1;4;2D;D858;Baccharis uncinella;2,5;2,5;2,6;;3,1;AD;;AD;19,8;-5,85
1;4;2D;83;Drimys angustifolia;1,28;1,35;1,42;;1,7;2,5;;M;16,3;-2,25
1;4;2D;84;Baccharis uncinella;2;2,5;3,1;;4;AD;;AD;15,1;-1,96
1;4;2D;M115;Solanum cassioides;;;1;;0,9;1;;1,5;12,1;­5,72
1;4;2D;e31;Solanum cassioides;;;1;;M;M;;M;12,35;­7,58
1;4;2D;j46;Solanum cassioides;1,25;1,35;1,4;;1,5;1,6;;1,75;17,2;­7,13
1;4;2D;e33;Solanum cassioides;1,32;1,4;M;;M;M;;M;17,8;­8,37
1;4;2D;e35;Solanum cassioides;1,24;1,29;1,32;;1,4;1,55;;M;17,5;­4,38
1;4;2D;M229;Baccharis uncinella;;1;1,6;;1,9;2,2;;M;17,3;­4,34
1;4;2D;e37;Solanum cassioides;1,53;1,55;1,6;;1,62;1,75;;1,65;18,1;­2,93
1;4;2D;H919;Baccharis uncinella;;;;;1,06;1,8;;2,6;17,2;-8,22
1;4;2D;M590;Solanum paranense;;;;;1;1,2;;1,7;16,9;-8,22
1;4;2D;D871;Campovassouria cruciata;;;;;1,15;2,8;;3;14,2;-5,38
1;4;2D;M117;Campovassouria cruciata;;;;;1,75;1,8;;M;13,2;-4,38
1;4;2D;D1347;Solanum paranense;;;;;1,4;M;;M;17,7;-5,67
1;4;2D;D1378;Solanum cassioides;;;;;1,05;1,7;;M;17,1;-3,67
1;4;2D;M280;Baccharis microdonta;;;;;;2;;M;;
1;4;2D;M121;Campovassouria cruciata;;;;;;1,8;;2,4;17,5;-1
1;4;2D;M527;Solanum cassioides;;;;;;1,5;;1,7;;
1;4;2D;M112;Drimys angustifolia;;;;;;1,1;;1,7;13,6;-6
1;4;2D;M216;Solanum cassioides;;;;;;1,5;;1,5;;
1;4;2D;M230;Solanum paranense;;;;;;2,8;;2,3;;
1;4;2D;M114;Solanum paranense;;;;;;1,3;;1,4;;
1;4;2D;M113;Solanum paranense;;;;;;1;;1,1;;
1;4;2D;M145;Myrsine coriacea;;;;;;1,1;;1,65;;
1;4;2D;M232;Myrceugenia regnelliana;;;;;;1;;M;;
1;4;2D;M588;Baccharis microdonta;;;;;;1,5;;2,6;;
1;4;2D;M64;Solanum paranense;;;;;;1,12;;1,3;;
1;4;2D;M231;Baccharis uncinella;;;;;;1,1;;1,95;13;-6
1;4;2D;M565;Baccharis microdonta;;;;;;1,6;;M;;
1;4;2D;M128;Clethra scabra;;;;;;1,6;;2;14,5;-2
1;4;2D;H978;Drimys angustifolia;;;;;;;;2,6;19;-0,1
1;4;2D;H1029;Drimys angustifolia;;;;;;;;1,65;17,5;-1,5
1;4;2D;H935;Symphyopappus itatiayensis;;;;;;;;1,5;17,5;-2
1;4;2D;H1003;Vernonanthura sp.;;;;;;;;1,5;18,1;-1,9
1;4;2D;H937;Campovassouria cruciata;;;;;;;;1,9;17,5;-0,5
1;4;2D;H933;Drimys angustifolia;;;;;;;;3,5;14,5;-2
1;4;2D;H957;Solanum paranense;;;;;;;;1,4;14;-3,5
1;4;2D;H1025;Solanum paranense;;;;;;;;1,6;;
1;4;2D;H907;Solanum paranense;;;;;;;;2,2;;
1;4;2D;H895;Myrsine coriacea;;;;;;;;1,8;17,2;-7,13
1;4;2D;H918;Campovassouria cruciata;;;;;;;;1,2;17;-6,5
1;4;2D;H915;Baccharis uncinella;;;;;;;;2,3;17;-9
1;4;2D;H1005;Solanum paranense;;;;;;;;1,55;17;-3
1;4;2D;H931;Baccharis uncinella;;;;;;;;2;16,5;-3
1;4;2D;H939;Baccharis uncinella;;;;;;;;1,85;12;-4
1;5;3E;M265;Myrceugenia regnelliana;;1;1,2;;1,2;1,6;;1,7;21,22;3,98
1;5;3E;M58;Drimys angustifolia;1,1;1,4;1,64;;1,6;2,3;;2,5;22,78;8,42
1;5;3E;129;Myrceugenia oxysepala;;;1;;1,1;1,3;;1,5;23,03;9,23
1;5;3E;130;Baccharis uncinella;2,9;3,2;3,5;;4;AD;;AD;22,73;5,31
1;5;3E;131;Baccharis uncinella;2,8;3,1;3,3;;4;AD;;AD;25,1;4,02
1;5;3E;D276;Baccharis uncinella;2,3;3;3,4;;4;AD;;AD;24,7;3,92
1;5;3E;H1201;Vernonanthura montevidensis;1,23;1,3;1,65;;1,6;2,2;;2,5;24,46;6,53
1;5;3E;134;Baccharis uncinella;2,5;2,9;3;;M;M;;M;29,4;8,11
1;5;3E;D280;Solanum cassioides;1,51;1,2;1,2;;M;M;;M;28,75;6,06
1;5;3E;137;Drimys angustifolia;1,7;1,7;2;;2,6;2,5;;AD;28,9;6,26
1;5;3E;138;Myrceugenia glaucescens;;;1,1;;1,2;2;;2;28,4;4,09
1;5;3E;e38;Solanum cassioides;;;1,1;;1,1;M;;M;20,3;1,96
1;5;3E;D278;Solanum paranense;1,2;1,3;1,32;;1,3;1,75;;2,1;26,5;2,92
1;5;3E;e41;Solanum paranense;1,15;1,3;1,3;;1,6;M;;M;25,8;9,1
1;5;3E;M592;Solanum cassioides;1,2;1,4;1,44;;1,2;1,7;;M;24,3;6,17
1;5;3E;e43;Solanum cassioides;;1,25;1,2;;1,3;1,3;;M;23,6;5,37
1;5;3E;j60;Solanum cassioides;;;1,1;;M;M;;M;22,3;7
1;5;3E;M56;Solanum cassioides;;;1,1;;1;1,3;;M;25,5;9,5
1;5;3E;j64;Baccharis uncinella;;;1,3;;2,3;2,3;;M;28;2,92
1;5;3E;j69;Baccharis uncinella;;;1,1;;M;M;;M;28;1,2
1;5;3E;D256;Solanum paranense;;;1,2;;1;1,1;;M;20,02;6,9
1;5;3E;J59;Myrceugenia regnelliana;;;1,1;;1,1;1,2;;M;20,02;6,9
1;5;3E;D252;Solanum cassioides;;;1,3;;M;M;;M;21;1
1;5;3E;D275;Solanum cassioides;;;1,12;;1,1;M;;M;23,6;5,97
1;5;3E;D277;Solanum cassioides;;;1,3;;1,35;M;;M;23,4;6,17
1;5;3E;120;Myrceugenia regnelliana;;;;;1;0,7;;1,3;21,3;2
1;5;3E;J58;Solanum paranense;;;;;1,4;1,4;;1,5;20,6;2,39
1;5;3E;D1394;Maytenus boaria;;;;;1,6;1,5;;1,5;22;4,2
1;5;3E;D1386;Baccharis uncinella;;;;;1,5;2;;2,5;20,4;9,36
1;5;3E;D1387;Maytenus boaria;;;;;1,4;M;;M;26,9;1
1;5;3E;D1377;Solanum cassioides;;;;;1;M;;M;27,4;0,34
1;5;3E;M67;Symplocos pentandra;;;;;;1,7;;M;;
1;5;3E;H905;Symphyopappus itatiayensis;;;;;;1,2;;1,6;;
1;5;3E;H906;Myrceugenia oxysepala;;;;;;1,1;;1,5;27;0,5
1;5;3E;M265;Myrceugenia regnelliana;;;;;;1,6;;M;27;0,6
